patch,champion_name,champion_name_kr,role,pick_count,pick_rate_pct,win_rate_pct,avg_kda,avg_gpm,avg_vision,sample_flag
15.3,LeeSin,리 신,SUPPORT,4,0.009,25.0,2.214,324.2,53.75,LOW_N
15.3,Malzahar,말자하,BOT,4,0.009,25.0,1.367,412.8,15.5,LOW_N
15.3,Malzahar,말자하,SUPPORT,4,0.009,50.0,4.726,328.5,57.0,LOW_N
15.3,MasterYi,마스터 이,TOP,4,0.009,75.0,3.155,417.8,17.5,LOW_N
15.3,Mordekaiser,모데카이저,MID,4,0.009,50.0,1.707,386.6,20.5,LOW_N
15.3,Nocturne,녹턴,TOP,4,0.009,50.0,2.914,391.9,11.25,LOW_N
15.3,Riven,리븐,MID,4,0.009,50.0,2.719,483.0,14.25,LOW_N
15.3,Rumble,럼블,MID,4,0.009,75.0,2.53,391.8,14.5,LOW_N
15.3,Singed,신지드,JUNGLE,4,0.009,0.0,2.883,363.2,20.5,LOW_N
15.3,Twitch,트위치,TOP,4,0.009,25.0,1.296,390.1,13.5,LOW_N
15.3,Velkoz,벨코즈,TOP,4,0.009,75.0,2.03,401.7,19.25,LOW_N
15.3,Volibear,볼리베어,MID,4,0.009,50.0,1.432,372.5,14.25,LOW_N
15.3,Alistar,알리스타,TOP,3,0.006,100.0,5.422,428.3,15.67,LOW_N
15.3,Annie,애니,BOT,3,0.006,33.33,2.805,344.7,15.67,LOW_N
15.3,Aurora,오로라,BOT,3,0.006,66.67,3.767,432.4,21.67,LOW_N
15.3,Braum,브라움,TOP,3,0.006,33.33,1.173,299.8,12.33,LOW_N
15.3,Caitlyn,케이틀린,SUPPORT,3,0.006,66.67,2.342,346.3,49.67,LOW_N
15.3,Caitlyn,케이틀린,TOP,3,0.006,0.0,0.339,334.8,12.67,LOW_N
15.3,Camille,카밀,MID,3,0.006,66.67,2.711,442.7,13.67,LOW_N
15.3,Draven,드레이븐,MID,3,0.006,66.67,5.889,498.1,18.67,LOW_N
15.3,Draven,드레이븐,TOP,3,0.006,33.33,0.887,417.9,13.67,LOW_N
15.3,Gwen,그웬,MID,3,0.006,33.33,0.859,389.2,15.33,LOW_N
15.3,Heimerdinger,하이머딩거,SUPPORT,3,0.006,66.67,2.948,405.1,64.67,LOW_N
15.3,Karthus,카서스,MID,3,0.006,66.67,2.393,445.3,13.33,LOW_N
15.3,Leona,레오나,JUNGLE,3,0.006,33.33,1.943,263.4,55.67,LOW_N
15.3,Lucian,루시안,MID,3,0.006,100.0,5.263,447.7,10.33,LOW_N
15.3,Lulu,룰루,MID,3,0.006,66.67,8.667,352.2,23.67,LOW_N
15.3,MasterYi,마스터 이,MID,3,0.006,33.33,1.31,383.7,11.33,LOW_N
15.3,MonkeyKing,오공,SUPPORT,3,0.006,33.33,1.672,332.7,59.0,LOW_N
